SongName,AlbumName,AlbumLink,Year,PlayCount,Lyrics,SongLink,Duration
Earth Intruders,Volta,https://open.spotify.com/album/363DbrhHnovVcrNKwS9qmj,2007,3464655,"Into the soil
Into the soil
Into the soil
Into the soil
Into the soil
Into the soil
Into the soil
Into the soil
Into the soil
Into the soil
Into the soil
Into the soil
We are the Earth Intruders
We are the Earth intruders
Muddy with twigs and branches, aa-aah
Into the soil
Into the soil
Into the soil
Into the soil
Here come the Earth intruders
We are the paratroopers
Stampede of Sharpshooters
Come straight from voodoo
Come straight from voodoo
Come straight from voodoo
Come straight from voodoo
Come straight from voodoo
With our feet stomping
With our feet marching
Grinding skeptics
Into the soil
Shower of goodness
Coming to
End the
Doubt
Pouring over
Shower of goodness
Coming to
End (into the soil)
Into the soil
Into the soil
Into the soil
We are the earth intruders
We are the sharp shooters
Flock of parachuters
Necessary voodoo
Come straight from voodoo
♪
Come straight from voodoo
Come straight from voodoo
Come straight from voodoo
I have
Guided my bones
Through some voltage
And love them still (yeah)
And love them too
Metallic
Carnage
Furiocity
Feel the speed
We are the earth intruders
We are the sharp shooters
Flock of parachuters
Necessary voodoo
Turmoil
Out there
Carnage
Rambling
What is to do but dig?
Dig bones out of earth
(Into the soil) Mud graves
(Into the soil) Timber
(Into the soil) Morbid
(Into the soil) Trenches
Here come the earth intruders
Stampede and resistance
We are the canoneerers
Necessary voodoo
(Come straight from voodoo) And the beast
(Come straight from voodoo) With many heads (come straight from voodoo)
And the arms rolling (come straight from voodoo)
Steamroller (come straight from voodoo)
Come straight from voodoo
Come straight from voodoo
Come straight from voodoo
Come straight from voodoo
Come straight from voodoo
Come straight from voodoo
Come straight from voodoo
Come straight from voodoo
Come straight from voodoo
Come straight from voodoo (forgive us, tribe)
Come straight from voodoo
Come straight from voodoo (We are the earth intruders)
Come straight from voodoo (We are the earth intruders)
Come straight from voodoo (Muddy with twigs and)
Come straight from voodoo (Branches)
We are the earth intruders
Muddy with twigs and branches
Marching
We are the earth intruders
Muddy with twigs and branches
We are the earth intruders (march) aa-aah
March
March
We are the earth intruders
Muddy with twigs and branches
Marching
March
March, hehe
March
March
March, hehe
March
♪
March
Hehe",https://open.spotify.com/track/7GgzqbrToXcicwk4yBS1BN,373
Family,Vulnicura,https://open.spotify.com/album/1ttnHZ0HVGMSMTJdZZ7kYK,2015,2575565,"Is there a place
Where I can pay respects
For the death of my family
Show some respect
Between the three of us
There is the mother and the child
Then there is the father and the child
But no man and a woman
No triangle of love
So where do I go
To make an offering
I fall on my knees
Lay my flowers
Light the candles
♪
So where do I go
To make an offering
To mourn our miraculous triangle
Father, mother, child
♪
Father, mother, child
♪
How will I sing us
Out of this sorrow
Build a safe bridge
For the child
Out of this danger, danger
♪
I raise a monument of love
There is a swarm of sound
Around our heads
♪
And we can hear it
And we can get healed by it
It will relieve us from the pain
♪
It would make us a part of it
This universe of solutions
This place of solutions
♪
This location of solutions",https://open.spotify.com/track/3aJWl5poTINu7UzyYEzvSl,482
Features Creatures - Cornucopia Live,Cornucopia: Live,https://open.spotify.com/album/3RthPqHIceYcEAYWohiD8n,2025,17778,"When I spot someone who is same height as you
Goes to same record stores
I literally think I am five minutes away from love
Isn't it odd?
Isn't it peculiar?
These statistics of my mind
Shuffling your features
Assembling a man
Googling love
Warming my heart on this log fire of love
Features creatures
Features creatures",https://open.spotify.com/track/06ZddTLdiJ4HFdyX7e3Rjw,183
Fossora / Atopos - Cornucopia Live,Cornucopia: Live,https://open.spotify.com/album/3RthPqHIceYcEAYWohiD8n,2025,23996,"Her nerves spread like wings
At mycelium speed
Into the atmosphere
There's spores everywhere
Fossora
Fossora
Fossora
For millions of years
We've been ejecting our spores
Seedlings and sprouts
Are shot into the ground
Fossora
Fossora
Fossora
Are these not just excuses to not connect?
Our differences are irrelevant (our differences are irrelevant)
To insist on absolute justice
At all times, it blocks connection
Hope is a muscle
That allows us to connect
Hope is a muscle (hope is a muscle)
Hope is a muscle (hope is a muscle)
That allows us to connect",https://open.spotify.com/track/6ZhrnfBbHBXPiodbrsIkxm,188
Future Forever,Utopia,https://open.spotify.com/album/037hz3oZyrgcJOheyhPMnC,2017,1974304,"Imagine a future and be in it
Feel this incredible nurture, soak it in
Your past is on a loop, turn it off
See this possible future and be in it
♪
Hold fort, for love, forever
♪
We're just momentary vessels
We're just carrying
Trust your head around
Guide your stare elsewhere
Your love is already waiting
You're already in it
♪
Hold fort for love, forever
♪
Watch me form new nests
Weave a matriarchal dome
♪
Build a musical scaffolding
Between sleep and awake
Day and night (between sleep and awake)
♪
You say I mirror peoples' missions at them
Now you mirror at me who I used to be
What I gave to the world, you're giving back at me
Hold fort for love, forever",https://open.spotify.com/track/4OZ1CGo6t8VmbBTrW3m9oH,287
Hidden Place,Greatest Hits,https://open.spotify.com/album/7AUW3zs7IECZjVVks1tfb2,2002,16315507,"Through the warmthest cord of care
Your love was sent to me
I'm not sure what to do with it
Or where to put it
I'm so close to tears
And so close to
Simply calling you up
And simply suggesting
We go to that hidden place
That we go to a hidden place
We go to that hidden place
We go to a hidden place
♪
Now, I have been slightly shy
And I can smell a pinch of hope
To almost have allowed once fingers
To stroke
The fingers I was given to touch with
But careful, careful
There lies my passion hidden
There lies my love
I'll hide it under a blanket
Lull it to sleep
I'll keep it in a hidden place
I'll keep it in a hidden place
Keep it in a hidden place
Keep it in a hidden place
♪
He's
The beautifullest
Fragilest
Still strong
Dark and divine
And the littleness of his movements
Hides himself
He invents a charm
That makes him invisible
Hides in the hair
Can I hide there too?
Hide in the hair of him
Seek solace
Sanctuary
In that hidden place
In a hidden place
In a hidden place
We'll stay in a hidden place
In a hidden place
We'll live in a hidden place
♪
We'll be in a hidden place
♪
In a hidden place",https://open.spotify.com/track/4u5F6V1QhigyV5ExF0GIQi,328
History of Touches,Vulnicura,https://open.spotify.com/album/1ttnHZ0HVGMSMTJdZZ7kYK,2015,3500025,"I wake you up
In the middle of the night
To express my love for you
Stroke your skin and feel you
Naked I can feel all of you
At the same moment
I wake you up
In the night feeling
This is our last time together
Therefore sensing all the moments
We've been together
Being here at the same time
Every single touch
We ever touch each other
Every single fuck
We had together
Is in a wondrous time lapse
With us here at this moment
The history of touches
Every single archive
Compressed into a second
All with us here as I wake you up",https://open.spotify.com/track/2JO6gR7HX2Hx9aEoi6vuAv,180
Hollow (16-bit Remix),Biophilia Remix Series VII,https://open.spotify.com/album/4ChuH50tCiaowZ9vqrkKKJ,2012,677546,"Hollow, my ancestors have access
Hollow, I'm falling down the abyss
Hollow, looking for some answers
Generations of mothers sailing in
Somehow, they all were ship folks
Hollow, the ground is opening up
Swallows me up, the trunk of DNA
The trunk of DNA, trunk
Now come forth, all human species
Fall out one piece
No one race
From her pieces
No more pieces
I'm part of it, hollow
Like a bead in necklace
Thread me upon this chain
I'm part of it
The everlasting necklace
The everlasting necklace
Jewels after jewels, after jewels, after
Jewels after jewels, after jewels
I yearn to belong, let me belong (let me belong)",https://open.spotify.com/track/1mt0EbVDKLgk7k2ApjdzhZ,422
Hope,Volta,https://open.spotify.com/album/363DbrhHnovVcrNKwS9qmj,2007,394767,"Here's my version of it, eternal whirlwind
Here's my version of it, eternal whirlwind
Here's my version of it, eternal whirlwind
♪
What's the lesser of two evils
If a suicide bomber made to look pregnant
Manages to kill her target or not?
What's the lesser of two evils?
♪
What's the lesser of two evils
If she kills them or dies in vain?
Nature has fixed no limits on our hopes
Oh, what's the lesser of two evils?
♪
What's the lesser of two evils
If her bump was fake or if it was real?
Here's my version of it
Eternal whirlwind
I have fostered since childhood
Well, I don't care
Love is all
I dare to drown
♪
To be proven wrong.",https://open.spotify.com/track/0UbjNhrz6PIvsitQMoJSI8,215
Human Behavior,Greatest Hits,https://open.spotify.com/album/7AUW3zs7IECZjVVks1tfb2,2002,59422502,"If you ever get close to a human
And human behavior
Be ready, be ready to get confused
There's definitely, definitely, definitely no logic
To human behavior
But yet so, yet so irresistible
And there is no map
They're terribly, terribly, terribly moody
Oh, human behavior
Then all of a sudden turn happy
But, oh, to get involved in the exchange
Of human emotions
Is ever so, ever so satisfying
And there is no map
Human behavior
Human behavior
Human behavior
Human behavior
And there is no map
And a compass wouldn't help at all
Human behavior
Human behavior
Human behavior
Human behavior
There's definitely, definitely, definitely no logic
Human behavior
Human behavior
Human behavior
There's definitely, definitely, definitely no logic
Human
Human
Human
Human",https://open.spotify.com/track/7h7ycPguQVK7UqZJ5ASpdP,252
